,Trace length,Activities,Percent count
0,4,Start trip,35.49751243781095
1,4,Permit FINAL_APPROVED by SUPERVISOR,19.402985074626866
2,4,End trip,12.2636815920398
3,4,Request For Payment SUBMITTED by EMPLOYEE,10.0
4,4,Permit APPROVED by ADMINISTRATION,6.169154228855722
5,4,Permit FINAL_APPROVED by DIRECTOR,3.656716417910448
6,4,Permit APPROVED by SUPERVISOR,2.4875621890547266
7,4,Request For Payment FINAL_APPROVED by SUPERVISOR,1.7412935323383085
8,4,Permit APPROVED by BUDGET OWNER,1.5422885572139304
9,4,Request For Payment APPROVED by ADMINISTRATION,1.5174129353233832
10,4,Declaration SUBMITTED by EMPLOYEE,1.3184079601990049
11,4,Permit SUBMITTED by EMPLOYEE,1.144278606965174
12,4,Permit REJECTED by EMPLOYEE,0.9701492537313432
13,4,Permit APPROVED by PRE_APPROVER,0.6218905472636816
14,4,Permit REJECTED by ADMINISTRATION,0.5223880597014926
15,4,Permit REJECTED by SUPERVISOR,0.2985074626865672
16,4,Request For Payment APPROVED by PRE_APPROVER,0.2985074626865672
17,4,Permit REJECTED by MISSING,0.17412935323383086
18,4,Permit REJECTED by PRE_APPROVER,0.09950248756218905
19,4,Request For Payment REJECTED by ADMINISTRATION,0.09950248756218905
20,4,Declaration SAVED by EMPLOYEE,0.0746268656716418
21,4,Request For Payment SAVED by EMPLOYEE,0.04975124378109452
22,4,Declaration FINAL_APPROVED by SUPERVISOR,0.02487562189054726
23,4,Permit REJECTED by BUDGET OWNER,0.02487562189054726
24,6,Declaration SUBMITTED by EMPLOYEE,40.27363184079602
25,6,End trip,15.597014925373134
26,6,Declaration FINAL_APPROVED by SUPERVISOR,10.024875621890548
27,6,Request For Payment FINAL_APPROVED by SUPERVISOR,8.109452736318408
28,6,Request For Payment APPROVED by ADMINISTRATION,4.328358208955224
29,6,Permit FINAL_APPROVED by SUPERVISOR,4.303482587064677
30,6,Send Reminder,2.6368159203980097
31,6,Request For Payment SUBMITTED by EMPLOYEE,2.2388059701492535
32,6,Start trip,2.2388059701492535
33,6,Declaration APPROVED by ADMINISTRATION,1.4427860696517412
34,6,Payment Handled,1.3681592039800996
35,6,Permit SUBMITTED by EMPLOYEE,1.0945273631840797
36,6,Declaration APPROVED by PRE_APPROVER,0.8706467661691543
37,6,Permit FINAL_APPROVED by DIRECTOR,0.7711442786069652
38,6,Request For Payment REJECTED by EMPLOYEE,0.7462686567164178
39,6,Request Payment,0.7462686567164178
40,6,Request For Payment APPROVED by BUDGET OWNER,0.7213930348258706
41,6,Permit APPROVED by ADMINISTRATION,0.6965174129353234
42,6,Request For Payment REJECTED by ADMINISTRATION,0.2985074626865672
43,6,Permit APPROVED by BUDGET OWNER,0.22388059701492538
44,6,Permit REJECTED by EMPLOYEE,0.1990049751243781
45,6,Request For Payment APPROVED by PRE_APPROVER,0.17412935323383086
46,6,Permit APPROVED by PRE_APPROVER,0.1492537313432836
47,6,Permit APPROVED by SUPERVISOR,0.1492537313432836
48,6,Declaration SAVED by EMPLOYEE,0.09950248756218905
49,6,Permit REJECTED by SUPERVISOR,0.09950248756218905
50,6,Permit REJECTED by MISSING,0.0746268656716418
51,6,Request For Payment FINAL_APPROVED by DIRECTOR,0.0746268656716418
52,6,Request For Payment REJECTED by SUPERVISOR,0.0746268656716418
53,6,Declaration APPROVED by SUPERVISOR,0.04975124378109452
54,6,Request For Payment APPROVED by SUPERVISOR,0.04975124378109452
55,6,Permit REJECTED by ADMINISTRATION,0.02487562189054726
56,6,Request For Payment REJECTED by BUDGET OWNER,0.02487562189054726
57,6,Request For Payment SAVED by EMPLOYEE,0.02487562189054726
58,8,Declaration FINAL_APPROVED by SUPERVISOR,39.5273631840796
59,8,Declaration SUBMITTED by EMPLOYEE,18.45771144278607
60,8,Declaration APPROVED by ADMINISTRATION,14.129353233830846
61,8,Payment Handled,7.636815920398011
62,8,Request For Payment FINAL_APPROVED by SUPERVISOR,3.880597014925373
63,8,End trip,2.6865671641791042
64,8,Request Payment,2.014925373134328
65,8,Request For Payment APPROVED by ADMINISTRATION,1.5671641791044775
66,8,Request For Payment SUBMITTED by EMPLOYEE,1.4427860696517412
67,8,Declaration FINAL_APPROVED by DIRECTOR,1.3432835820895521
68,8,Start trip,1.1940298507462688
69,8,Declaration APPROVED by BUDGET OWNER,1.0447761194029852
70,8,Permit FINAL_APPROVED by SUPERVISOR,0.845771144278607
71,8,Request For Payment APPROVED by BUDGET OWNER,0.6965174129353234
72,8,Permit APPROVED by BUDGET OWNER,0.5223880597014926
73,8,Declaration APPROVED by PRE_APPROVER,0.3731343283582089
74,8,Request For Payment REJECTED by EMPLOYEE,0.3731343283582089
75,8,Declaration APPROVED by SUPERVISOR,0.24875621890547264
76,8,Send Reminder,0.24875621890547264
77,8,Permit APPROVED by ADMINISTRATION,0.1990049751243781
78,8,Permit FINAL_APPROVED by DIRECTOR,0.1990049751243781
79,8,Permit SUBMITTED by EMPLOYEE,0.17412935323383086
80,8,Request For Payment REJECTED by ADMINISTRATION,0.17412935323383086
81,8,Request For Payment APPROVED by PRE_APPROVER,0.1492537313432836
82,8,Request For Payment FINAL_APPROVED by DIRECTOR,0.1492537313432836
83,8,Permit REJECTED by EMPLOYEE,0.12437810945273632
84,8,Permit APPROVED by SUPERVISOR,0.09950248756218905
85,8,Permit REJECTED by BUDGET OWNER,0.09950248756218905
86,8,Permit REJECTED by MISSING,0.09950248756218905
87,8,Permit APPROVED by PRE_APPROVER,0.0746268656716418
88,8,Request For Payment APPROVED by SUPERVISOR,0.0746268656716418
89,8,Request For Payment REJECTED by PRE_APPROVER,0.0746268656716418
90,8,Declaration SAVED by EMPLOYEE,0.02487562189054726
91,8,Permit REJECTED by ADMINISTRATION,0.02487562189054726
92,8,Request For Payment REJECTED by MISSING,0.02487562189054726
93,10,Declaration FINAL_APPROVED by SUPERVISOR,54.30348258706468
94,10,Declaration SUBMITTED by EMPLOYEE,17.611940298507463
95,10,End trip,7.313432835820896
96,10,Payment Handled,3.8308457711442783
97,10,Request Payment,2.8606965174129355
98,10,Declaration FINAL_APPROVED by DIRECTOR,2.064676616915423
